Rank,Title,Year,Predicted_Rating,Recommendation_Score,Keywords_From_CSV,Female_Critiques_From_CSV,Hours_Themes_Alignment_From_CSV,Awards_From_CSV,Narrative_Type_From_CSV,Director,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Has_Oscar,Award_Count,Awards,Writer,Actors,Plot,Language,Country,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
11,"At Home Among Strangers, a Stranger Among His Own",1974,8.134,0.635,,,,,,Nikita Mikhalkov,N/A,N/A,11 Nov 1974,97 min,97,"Action, Adventure, Drama",Action,Adventure,7.4,7.4,3763,0.0,0.0,0.0,N/A,"Nikita Mikhalkov, Eduard Volodarskiy","Yuriy Bogatyryov, Anatoliy Solonitsyn, Sergey Shakurov","The action of this psychological film takes place in the 1920s in a small provincial town in southern Russia. The civil war is over, but the Bolsheviks are still far from complete victory. A group of gangsters of former white officers rob a train of gold, which needed to buy bread for the hungry, and five friends, former Red fighters, engage them in mortal combat.",Russian,Soviet Union,tt0072231,movie,N/A,N/A,N/A,"emotional, exciting",fast,intimate,friendship,unknown,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12,Autumn Marathon,1979,8.079,0.64,,,,,,Georgiy Daneliya,N/A,N/A,23 Nov 1979,90 min,90,"Comedy, Drama, Romance",Comedy,Drama,7.8,7.8,3776,0.0,0.0,1.0,4 wins,"Aleksandr Volodin, Georgiy Daneliya","Oleg Basilashvili, Natalya Gundareva, Marina Neyolova","Andrey Pavlovich Buzykin, who makes a living by teaching at an institute and translating English literature, is cheating on his wife. Buzykin's main problem is that he's a kind man with a weak character. The lies he is telling his wife all the time are inconvincing, but he never has the courage to tell her the truth. His lover, Alla, is aware of his family life, but gets offended when, for example, he cannot meet her so that he doesn't come home late, or when he doesn't want to go home in a new jacket she gives him to avoid having to explain to his wife. Alla and Nina, Andrei's wife, both leave him, forgive him, and return to him at the same time, and Andrei continues with this kind of life, full of suffering and deceit. Finally, both women are so fed up with his lies that they don't believe him even when he is telling the truth...",Russian,Soviet Union,tt0079679,movie,25 Jun 2002,N/A,Lenfilm Studio,"inspiring, emotional, funny",fast,intimate,"love, family",male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,Ballad of a Soldier,1959,8.094,0.649,,,,,,Grigoriy Chukhray,Not Rated,Not Rated,26 Dec 1960,88 min,88,"Drama, Romance, War",Drama,Romance,8.2,8.2,11927,0.0,1.0,2.0,Nominated for 1 Oscar. 6 wins & 4 nominations total,"Grigoriy Chukhray, Valentin Yezhov","Vladimir Ivashov, Zhanna Prokhorenko, Antonina Maksimova","During World War II, 19 year old soldier Alyosha gets a medal as a reward for a heroic act at the front. Instead of this medal he asks for a few days leave to visit his mother and repair the roof of their home. On the train eastwards he meets Shura who is on her way to her aunt. In those few days traveling together they fall in love.","Russian, Ukrainian",Soviet Union,tt0052600,movie,N/A,N/A,N/A,emotional,fast,"intimate, epic",love,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,Battleship Potemkin,1925,7.874,0.656,,,,,,Sergei Eisenstein,Not Rated,Not Rated,24 Dec 1925,66 min,66,"Drama, History, Thriller",Drama,History,7.9,7.9,63373,97.0,0.0,1.0,1 win total,"Nina Agadzhanova, Sergei Eisenstein, Grigoriy Aleksandrov","Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov",Based on the historical events the movie tells the story of a riot at the battleship Potemkin. What started as a protest strike when the crew was given rotten meat for dinner ended in a riot. The sailors raised the red flag and tried to ignite the revolution in their home port Odessa.,"None, Russian, English",Soviet Union,tt0015648,movie,N/A,"$51,198",N/A,"emotional, suspenseful",fast,intimate,general,unknown,linear,neutral,minimal,based_on,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,Bootleggers,1962,7.972,0.607,,,,,,Leonid Gaidai,N/A,N/A,08 Jan 1962,19 min,19,"Short, Comedy",Short,Comedy,7.9,7.9,5350,0.0,0.0,0.0,N/A,"Konstantin Brovin, Leonid Gaidai","Evgeniy Morgunov, Georgiy Vitsin, Yuriy Nikulin","In a small log cabin in the forest, three friends - Coward, Dunce and Experienced - make moonshine for sale. Things are going well. After working, friends try an alcohol-containing product and, having decided to make a joke, throw sugar dipped in moonshine to the dog Barbos. The offended dog overturns bottles and containers with a potion, takes out a coil from the moonshine still and runs with it in its mouth from the house into the forest. Trinity chases the dog. In the end, they all resort to the police station, where the moonshiners are arrested.",Russian,Soviet Union,tt0055400,movie,N/A,N/A,N/A,funny,fast,conventional,friendship,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Close to Eden,1991,8.221,0.643,,,,,,Nikita Mikhalkov,PG,PG,30 Oct 1992,119 min,119,"Adventure, Drama, Romance",Adventure,Drama,7.6,7.6,3905,0.0,1.0,2.0,Nominated for 1 Oscar. 5 wins & 12 nominations total,"Rustam Ibragimbekov, Nikita Mikhalkov","Badema, Bayaertu, Vladimir Gostyukhin","The shepherd Gombo lives with his wife, three children and grandmother in a tent on the Mongolian steppe. They are pleased with their rustic conditions, until a Russian truck driver, Serguei, gets stuck with his truck nearby. The cultural gap between Gombo and Serguie seems invincible. But maybe they can learn a few things from each other?","Mongolian, Russian, Mandarin","France, Soviet Union",tt0103176,movie,N/A,"$377,832",N/A,"emotional, exciting",medium,intimate,family,male,linear,neutral,growth,original,low,minimal,medium,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17,Courier,1986,8.072,0.64,,,,,,Karen Shakhnazarov,R,R,29 Dec 1986,88 min,88,"Comedy, Drama, Romance",Comedy,Drama,7.8,7.8,5919,0.0,0.0,2.0,1 win & 2 nominations,"Aleksandr Borodyanskiy, Karen Shakhnazarov","Fyodor Dunayevsky, Anastasiya Nemolyaeva, Oleg Basilashvili","Ivan Mirosnikov, a cheeky young man in the Gorbachev era, is trying to figure out what to do with his life (he's not in college, and the 2-year mandatory military service is looming large ahead of him). Meanwhile, he lives with his divorced mother, and works as a courier at a Russian newspaper. Through his job, he meets patronizing Professor Kuznetzov and his rebellious daughter Katya. To annoy the professor, Ivan claims to have an affair with Katya. To his surprise, Katya backs his story up.",Russian,Soviet Union,tt0091364,movie,N/A,N/A,N/A,"emotional, funny",fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,D'artagnan and Three Musketeers,1979,5.32,0.316,,,,,,,N/A,,1979-12-25,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0076998,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Dark Eyes,1987,5.32,0.316,,,,,,Nikita Mikhalkov,N/A,,1987-11-06,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0093664,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Dead Man's Letters,1986,8.066,0.633,,,,,,Konstantin Lopushanskiy,N/A,N/A,15 Sep 1986,87 min,87,"Drama, Sci-Fi",Drama,Sci-Fi,7.5,7.5,4016,0.0,0.0,1.0,1 win,"Konstantin Lopushanskiy, Vyacheslav Rybakov, Boris Strugatskiy","Rolan Bykov, Iosif Ryklin, Viktor Mikhaylov",The world after the nuclear apocalypse. Pale light lits the scenery of total destruction. The surviving humans vegetate in wet cellars under the nuclear winter. But somehow human spirit still sees somewhere the dim light of a new and better future. The next generation starts the walk towards a new life.,Russian,Soviet Union,tt0091759,movie,N/A,N/A,N/A,emotional,fast,"intimate, surreal",general,unknown,linear,neutral,tragedy,original,low,practical_effects,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Gentlemen of Fortune,1971,8.146,0.653,,,,,,Aleksandr Seryy,TV-13,TV-13,13 Dec 1971,88 min,88,"Comedy, Crime, Drama",Comedy,Crime,8.3,8.3,13658,0.0,0.0,0.0,N/A,"Georgiy Daneliya, Viktoriya Tokareva","Evgeniy Leonov, Georgiy Vitsin, Saveliy Kramarov","A kindergarten director Troshkin is a dead ringer for a criminal nicknamed ""Docent"" who stole the priceless headpiece of Alexander the Great during an archaeological expedition. But after militia ""inputs"" Troshkin into the criminal environment he has nothing left to do but to carefully play out the part of his ""evil twin"".",Russian,Soviet Union,tt0068519,movie,N/A,N/A,N/A,"emotional, dark, funny",fast,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
22,Guest from the Future,1984,5.32,0.316,,,,,,,N/A,,1984-07-07,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0086723,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,Hamlet,1964,8.158,0.652,,,,,,Grigoriy Kozintsev,Not Rated,Not Rated,03 May 1964,140 min,140,Drama,Drama,Unknown,8.2,8.2,3020,0.0,0.0,2.0,Nominated for 2 BAFTA 5 wins & 6 nominations total,"Grigoriy Kozintsev, Boris Pasternak, William Shakespeare","Innokentiy Smoktunovskiy, Mikhail Nazvanov, Elza Radzina","When the king of Denmark dies suddenly, his son, crown prince Hamlet, returns home to find that his uncle Claudius has usurped the throne and married Hamlet's recently widowed mother. Then, one night, Hamlet is visited by his father's ghost who commands him to avenge his murder at the hands of Claudius.","Russian, German, French",Soviet Union,tt0058126,movie,N/A,N/A,N/A,"emotional, dark",slow,intimate,general,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Heart of a Dog,1988,8.136,0.657,,,,,,Vladimir Bortko,PG,PG,20 Nov 1988,136 min,136,"Comedy, Drama, Sci-Fi",Comedy,Drama,8.5,8.5,9458,0.0,0.0,1.0,1 win,"Nataliya Bortko, Mikhail A. Bulgakov","Evgeniy Evstigneev, Vladimir Tolokonnikov, Boris Plotnikov","Old Prof. Preobrazhensky and his young colleague Dr. Bormental inserted the human's hypophysis into a dog's brain. Couple of weeks later the dog became ""human looking"". The main question is ""Is anybody who is looking like a man, A REAL MAN?""",Russian,Soviet Union,tt0096126,movie,N/A,N/A,N/A,"emotional, funny",slow,"intimate, surreal",general,male,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
25,Inadequate People,2010,8.022,0.627,,,,,,Roman Karimov,N/A,N/A,13 Jan 2011,102 min,102,"Comedy, Drama, Romance",Comedy,Drama,7.3,7.3,5056,0.0,0.0,1.0,2 nominations,Roman Karimov,"Ingrid Olerinskaya, Evgeniy Tsyganov, Yuliya Takshina","Adequacy is relative. Vitalik, the main character of the movie, seems to be pretty normal. With a respectable office job, a comfy little dwelling and a personal couch doctor, Vitalik looks as adequate as a human can possibly be. Wait till he drinks and drives himself into depression, and after that falls in love with an under-age girl living next door. Whos adequate now?","Russian, German",Russia,tt1722450,movie,N/A,N/A,Cinema Prime,"emotional, funny",fast,intimate,love,male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26,Interny,2010,5.61,0.33,,,,,,,N/A,,2010-03-29,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt1647423,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,Ivan Vasilyevich Changes His Profession,1973,8.107,0.619,,,,,,Leonid Gaidai,TV-G,TV-G,01 Jun 1973,88 min,88,"Adventure, Comedy, Sci-Fi",Adventure,Comedy,8.2,8.2,19477,0.0,0.0,0.0,N/A,"Mikhail A. Bulgakov, Vladlen Bakhnov, Leonid Gaidai","Yuriy Yakovlev, Leonid Kuravlyov, Aleksandr Demyanenko","Shurik Timofeev builds a working model of a time machine. By accident, Ivan Bunsha, an apartment complex manager, and George Miloslavsky, a petty burglar, are transferred to the 16th century Moscow, while Tsar Ivan the Terrible goes into the year 1973.","Russian, German",Soviet Union,tt0070233,movie,N/A,N/A,N/A,"exciting, funny",fast,surreal,general,unknown,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
28,"Ivan the Terrible, Part II: The Boyars' Plot",1946,8.133,0.667,,,,,,Sergei Eisenstein,Not Rated,Not Rated,24 Nov 1959,88 min,88,"Biography, Drama, History",Biography,Drama,7.8,7.8,8208,0.0,0.0,1.0,1 nomination,Sergei Eisenstein,"Nikolay Cherkasov, Serafima Birman, Pavel Kadochnikov","His wife dead from poisoning and his chief warrior, Kurbsky, defected to the Poles, Ivan is lonely as he pursues a unified Russia with no foreign occupiers. Needing friendship, he brings to court Kolychev, now Philip the monk, and makes him metropolitan bishop of Moscow. Philip, however, takes his cues from the boyars and tries to bend Ivan to the will of the church. Ivan faces down Philip and lets loose his private force, the Oprichniks, on the boyars. Led by the Tsar's aunt, Euphrosyne, the boyers plot to assassinate Ivan and enthrone her son, Vladimir. At a banquet, Ivan mockingly crowns Vladimir and sends him in royal robes into the cathedral where the assassin awaits.",Russian,Soviet Union,tt0051790,movie,N/A,N/A,N/A,emotional,fast,intimate,"justice, friendship",male,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,Ivan's Childhood,1962,8.165,0.648,,,,,,"Andrei Tarkovsky, Eduard Abalov",Not Rated,Not Rated,27 Jun 1963,95 min,95,"Drama, War",Drama,War,8.0,8.0,41167,0.0,0.0,1.0,2 wins total,"Vladimir Bogomolov, Mikhail Papava, Andrei Tarkovsky","Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov","During World War II, 12-year old Ivan works as a spy on the eastern front. The small Ivan can cross the German lines unnoticed to collect information. Three Soviet officers try to take care of this boy-child.","Russian, German",Soviet Union,tt0056111,movie,N/A,"$22,168",N/A,emotional,medium,"intimate, epic",family,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"Kidnapping, Caucasian Style",1967,8.211,0.657,,,,,,Leonid Gaidai,TV-13,TV-13,03 Apr 1967,82 min,82,"Adventure, Comedy, Drama",Adventure,Comedy,8.3,8.3,13967,0.0,0.0,0.0,N/A,"Leonid Gaidai, Yakov Kostyukovskiy, Moris Slobodskoy","Aleksandr Demyanenko, Natalya Varley, Vladimir Etush","In this comic story, nerdy Shurik travels to the Caucasus in search of native legends and folklore. But what he finds is a beautiful girl whom, due to intoxication and deceit of the local ""gang"", he ends up literally stealing for the local deceitful governor. All the time Shurik thinks that it is all just a one old Caucasian custom. When he, finally, realizes what he did he goes out in search for the girl of his dreams.",Russian,Soviet Union,tt0060584,movie,N/A,N/A,N/A,"emotional, exciting, funny",fast,intimate,general,male,surreal,neutral,minimal,comic,low,minimal,low,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
31,Kin-dza-dza!,1986,8.125,0.644,,,,,,Georgiy Daneliya,PG-13,PG-13,01 Dec 1986,135 min,135,"Comedy, Drama, Sci-Fi",Comedy,Drama,7.9,7.9,14547,0.0,0.0,2.0,3 wins & 1 nomination total,"Revaz Gabriadze, Georgiy Daneliya","Stanislav Lyubshin, Evgeniy Leonov, Yuriy Yakovlev","Kin-Dza-Dza is something like an ""advanced cyberpunk film"". It's a lot about people and social structures which on the planet of ""Pluke"" of course have many parallels to our society. It's a very funny movie, but it's also a melancholic movie with great philosophical sense.","Georgian, Russian, French, English, German",Soviet Union,tt0091341,movie,N/A,N/A,N/A,"emotional, funny",slow,"intimate, surreal",general,unknown,linear,neutral,minimal,original,low,practical_effects,low,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,Law of the Lawless,2002,5.34,0.317,,,,,,,N/A,,2002-09-23,0 min,0,,,,0.0,0.0,0,,,,,,,,,,tt0337898,movie,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,Letter Never Sent,1960,8.193,0.646,,,,,,Mikhail Kalatozov,Not Rated,Not Rated,27 Jun 1960,96 min,96,"Adventure, Drama",Adventure,Drama,7.8,7.8,4401,0.0,0.0,1.0,1 nomination,"Grigoriy Koltunov, Valeri Osipov, Viktor Rozov","Innokentiy Smoktunovskiy, Tatyana Samoylova, Vasiliy Livanov","The film is based on the eponymous book by Valery Osipov. Four geologists are searching for diamonds in the wilderness of Siberia. After a long and tiresome journey they manage to find their luck and put the diamond mine on the map. The map must be delivered back to Moscow. But on the day of their departure a terrible forest fire wreaks havoc, and the geologists get trapped in the woods.",Russian,Soviet Union,tt0053106,movie,N/A,N/A,N/A,"emotional, exciting",medium,intimate,survival,unknown,linear,neutral,minimal,based_on,low,minimal,low,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
