Rank,Title,Year,Predicted_Rating,Recommendation_Score,Rated,Content_Warnings,Released,Runtime,Runtime_mins,Genre,Primary_Genre,Secondary_Genre,IMDb_Rating,imdbRating,imdbVotes,Metascore,Award_Count,Awards,Writer,Actors,Plot,Language,imdbID,Type,DVD,BoxOffice,Production,Mood_Tags,Pacing,Style_Tags,Themes,Lead_Gender,Narrative_Structure,Ending_Type,Character_Arcs,Is_Adaptation,Budget_Level,Special_Effects,Filming_Location_Diversity,Has_LGBT,Has_Cinematography,Has_Screenplay,Has_Plot_Twist,Genre_Count,Is_Drama,Is_Comedy,Is_Crime,Is_History,Is_Romance,Is_Action,Is_Adventure,Is_Sci_Fi
11,Crossing the Bridge: The Sound of Istanbul,2005,5.13,0.33,Not Rated,Not Rated,27 May 2005,90 min,90,"Documentary, History, Music",Documentary,History,0,7.8,7104,73,2,1 win & 2 nominations,Fatih Akin,"Alexander Hacke, Ahmed Ulug, Cem Yegul","Award-winning director Fatih Akin takes us on a journey through Istanbul, the city that bridges Europe and Asia, and challenges familiar notions of east and west. He looks at the vibrant musical scene which includes traditional Turkish music plus rock and hip-hop.","Turkish, German, Kurdish, English",tt0459242,movie,N/A,"$70,685",N/A,neutral,medium,conventional,general,male,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Dahomey,2024,6.29,0.364,N/A,N/A,13 Dec 2024,68 min,68,Documentary,Documentary,Unknown,0,6.8,2910,85,2,13 wins & 50 nominations total,"Mati Diop, Makenzy Orcel","Lucrèce Hougbelo, Parfait Vaiayinon, Didier Sedoha Nassangade","The journey of 26 plundered royal treasures from the Kingdom of Dahomey exhibited in Paris, now being returned to Benin. Diop artistically voices a new generation's demands.","English, French, Fon",tt31015216,movie,N/A,"$100,959",N/A,neutral,fast,conventional,general,unknown,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Desire Pie,1977,5.32,0.316,Not Rated,Not Rated,N/A,5 min,5,"Animation, Short",Animation,Short,0,8.0,182,0,0,N/A,N/A,N/A,"At night, a naked man arrives in a woman's bedroom. The couple makes love, and various body parts take on extra lips and tongues to add to the pleasures and delights. After they have played through various attitudes, they go through a series of changes in shape, and they become all peoples, all races, and all gender pairings. A cosmic climax is followed by the couple, now at rest, surrounded by an aura of color and peace.",N/A,tt0216686,movie,N/A,N/A,N/A,neutral,fast,conventional,love,unknown,linear,neutral,redemption,original,low,minimal,low,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Dogville,2003,5.91,0.375,R,R,23 Apr 2004,171 min,171,"Crime, Drama",Crime,Drama,0,8.0,164417,61,2,21 wins & 33 nominations total,Lars von Trier,"Nicole Kidman, Paul Bettany, Lauren Bacall","Late one night, a beautiful and well-dressed young woman, Grace (Nicole Kidman), arrives in the mountainous old mining town of Dogville as a fugitive; following the sound of gunshots in the distance which have been heard by Tom (Paul Bettany), the self-appointed moral spokesman for the town. Persuaded by Tom, the town agree to hide Grace, and in return she freely helps the locals. However, when the Sheriff from a neighbouring town posts a Missing notice, advertising a reward for revealing her whereabouts, the townsfolk require a better deal from Grace, in return for their silence; and when the Sheriff returns some weeks later with a Wanted poster, even though the citizens know her to be innocent of the false charges against her, the town's sense of goodness takes a sinister turn and the price of Grace's freedom becomes a workload and treatment akin to that of a slave. But Grace has a deadly secret that the townsfolk will eventually encounter.","English, French",tt0276919,movie,N/A,"$1,535,286",N/A,"dark, emotional",epic,intimate,general,female,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,1,0,0,0,0,0
15,Don't Let Them Shoot the Kite,1989,5.919,0.376,N/A,N/A,07 Nov 1989,85 min,85,"Crime, Drama",Crime,Drama,0,8.3,7079,0,2,7 wins & 1 nomination,"Tunç Basaran, Feride Çiçekoglu","Ozan Bilen, Nur Sürer, Füsun Demirel","Baris, a 5 year-old little boy, has to stay in a prison with her mother during her detention period. Baris develops a special relationship with Inci, a young woman who also stays in prison. She promises him that the kite will fly someday.",Turkish,tt0098573,movie,N/A,N/A,N/A,"dark, emotional",fast,intimate,love,female,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,0,1,0,0,0,0,0
16,Fallen Angels,1995,5.92,0.376,Not Rated,Not Rated,30 Jan 1998,99 min,99,"Comedy, Crime, Drama",Comedy,Crime,0,7.5,56485,71,2,8 wins & 15 nominations total,Wong Kar-Wai,"Leon Lai, Michelle Reis, Takeshi Kaneshiro","Wong Chi-ming, a cold-blooded Hong-Kong-based assassin, has decided that he wants out. One last job stands in the way of a new life; however, Wong is unaware that his female partner-in-crime is utterly infatuated with him. Then, Wong has a late-night encounter with seductive Blondie in a fast-food restaurant, only to spark his obsessed partner's jealousy. Elsewhere in the city, mute Ho Chi-mo, who has recently escaped from prison, uses unorthodox ways to eke out an existence. During one of his nightly escapades, Ho crosses paths with Charlie, who enlists his help to find her ex-boyfriend's new lover. But, can there be redemption for the fallen angels?","Cantonese, Mandarin, Min Nan, Japanese, English",tt0112913,movie,N/A,"$163,145",N/A,"dark, funny, emotional",fast,intimate,"friendship, love",ensemble,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,1,1,0,0,0,0,0
17,Fallen Leaves,2023,7.009,0.43,Unrated,Unrated,14 Sep 2023,81 min,81,"Comedy, Drama, Romance",Comedy,Drama,0,7.3,33069,86,2,12 wins & 61 nominations total,Aki Kaurismäki,"Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen","In modern-day Helsinki, two lonely souls in search of love meet by chance in a karaoke bar. However, their path to happiness is beset by obstacles - from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog.","Finnish, Arabic",tt21027780,movie,N/A,"$954,307",N/A,"funny, emotional",fast,intimate,love,unknown,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,1,0,0,1,0,0,0
18,Faya Dayi,2021,7.101,0.435,Not Rated,Not Rated,03 Sep 2021,120 min,120,"Documentary, Drama",Documentary,Drama,0,6.8,688,81,2,11 wins & 22 nominations,Jessica Beshir,"DJ Express, Kawa Sherif, Salih Sigirci","A spiritual journey into the highlands of Harar, immersed in the rituals of khat, a leaf Sufi Muslims chewed for centuries for religious meditations - and Ethiopia's most lucrative cash crop today.",Amharic,tt13648216,movie,N/A,N/A,N/A,emotional,medium,intimate,general,unknown,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,0,0,0,0,0,0,0
19,Four Days in September,1997,5.88,0.398,R,R,30 Jan 1998,110 min,110,"Action, Drama, History",Action,Drama,0,7.4,6049,0,2,Nominated for 1 Oscar. 6 wins & 9 nominations total,"Fernando Gabeira, Leopoldo Serran","Alan Arkin, Pedro Cardoso, Fernanda Torres","Fernando, a journalist, and his friend César join terrorist group MR8 in order to fight Brazilian dictatorial regime during the late sixties. Cesare, however, is wounded and captured during a bank hold up. Fernando then decides to kidnap the American ambassador in Brazil and ask for the release of fifteen political prisoners in exchange for his life.","Portuguese, English",tt0119815,movie,N/A,"$397,517",N/A,"emotional, exciting",fast,intimate,friendship,male,linear,neutral,redemption,original,low,practical_effects,medium,0,0,0,0,0,1,0,0,1,0,1,0,0
20,Fruits of Passion,1981,5.909,0.375,R,R,01 Nov 1982,83 min,83,Drama,Drama,Unknown,0,5.4,1852,0,0,N/A,"Dominique Aury, Shûji Terayama, Rio Kishida","Klaus Kinski, Isabelle Illiers, Arielle Dombasle","Sir Stephen and O, are placed in southern China where he owns a casino. He places her in a Chinese brothel for ""training"" and she is then subjected to a variety of humiliating experiences to prove her unconditional obedience. A sub-plot concerns a coolie rebellion due to the resentment towards Europeans by the local population and a young man desperate to afford her favors at the brothel.","English, Japanese",tt0082422,movie,20 Jun 2000,N/A,N/A,emotional,fast,intimate,general,ensemble,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Great Freedom,2021,7.71,0.51,Unrated,Unrated,06 May 2022,116 min,116,Drama,Drama,Unknown,0,7.5,8265,89,2,42 wins & 46 nominations total,"Thomas Reider, Sebastian Meise","Franz Rogowski, Georg Friedrich, Anton von Lucke","In post-war Germany, not everybody can enjoy freedom. Hans, a man who undergoes repeated prison time as he keeps being punished for his desires, experiences its passage differently from his recurring cellmate Viktor, a convicted murderer in it for the long haul. We begin in 1968, with Hans again arriving in prison. Viktor, an amateur tattoo artist, offers to cover up the camp number on Hans' forearm. Over time, the two men will exchange moments of exposure and need. Their bond is shadowed throughout by Viktor's deep-rooted homophobia and Paragraph 175, which criminalizes homosexuality. Despite all this, Hans and Viktor develop an unlikely bond.","German, English",tt14775784,movie,N/A,"$71,946",N/A,"dark, uplifting, emotional",medium,intimate,general,male,linear,neutral,redemption,original,low,minimal,medium,1,0,0,0,0,1,0,0,0,0,0,0,0
22,Gueros,2014,6.75,0.418,Not Rated,Not Rated,20 Mar 2015,106 min,106,"Comedy, Drama",Comedy,Drama,0,7.5,5488,77,2,23 wins & 14 nominations total,"Alonso Ruizpalacios, Gibrán Portela, Alan Page","Tenoch Huerta, Sebastián Aguirre, Ilse Salas","Tomas is too much for his lone mother so she sends him to live with his older brother Federico, aka Sombra, in Mexico City.",Spanish,tt3499048,movie,N/A,"$60,114",N/A,"funny, emotional",fast,intimate,general,ensemble,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
23,Hiroshima Mon Amour,1959,5.939,0.377,Not Rated,Not Rated,16 May 1960,90 min,90,"Drama, Romance",Drama,Romance,0,7.8,37371,0,2,Nominated for 1 Oscar. 7 wins & 7 nominations total,Marguerite Duras,"Emmanuelle Riva, Eiji Okada, Stella Dassas","A French woman and a Japanese man have an affair while she is in Japan making a film about peace and the impact of the atomic bomb on Hiroshima, The man, an architect, lost his family in the bombing. She recalls her lover during the war, a 23 year-old German soldier who later died. Despite the time they spend together, her attachment appears minimal and they go forward into the future.","French, Japanese, English",tt0052893,movie,N/A,"$96,439",N/A,emotional,medium,intimate,"family, love",female,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,1,0,0,0
24,Holy Spider,2022,7.16,0.438,N/A,N/A,13 Jan 2023,118 min,118,"Crime, Drama, Thriller",Crime,Drama,0,7.3,30395,66,2,22 wins & 35 nominations total,"Ali Abbasi, Afshin Kamran Bahrami, Jonas Wagner","Zar Amir Ebrahimi, Diana Al Hussen, Soraya Helli","In Holy Spider, we follow family man Saeed as he embarks on his own religious quest - to ""cleanse"" the holy Iranian city of Mashhad of immoral and corrupt street prostitutes. After murdering several women, he grows ever more desperate about the lack of public interest in his divine mission.",Persian,tt18550140,movie,N/A,"$307,188",N/A,"dark, suspenseful, emotional",fast,intimate,family,male,linear,neutral,growth,original,low,minimal,high,0,0,0,0,0,1,0,1,0,0,0,0,0
25,I Am Not a Witch,2017,6.799,0.42,N/A,N/A,07 Sep 2018,93 min,93,"Comedy, Drama",Comedy,Drama,0,6.9,4411,80,2,Won 1 BAFTA Award17 wins & 38 nominations total,Rungano Nyoni,"Maggie Mulubwa, Henry B.J. Phiri, Nancy Murilo","Following a banal incident in her local village, 8-year old girl Shula is accused of witchcraft. After a short trial she is found guilty, taken into state custody and exiled to a witch camp. At the camp she takes part in an initiation ceremony where she is shown the rules surrounding her new life as a witch. Like the other residents, Shula is tied to a ribbon which is attached to a coil that perches on a large truck. She is told that should she ever cut the ribbon, she'll be cursed and transformed into a goat.","English, Nyanja, Bemba, Tonga (Tonga Islands)",tt6213284,movie,N/A,"$50,868",N/A,"funny, emotional",fast,intimate,general,female,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,1,0,0,0,0,0,0
26,Jane B. for Agnes V.,1988,5.21,0.37,Not Rated,Not Rated,02 Mar 1988,99 min,99,"Biography, Fantasy",Biography,Fantasy,0,7.2,1612,0,0,N/A,Agnès Varda,"Jane Birkin, Jean-Pierre Léaud, Philippe Léotard","""I'll look at you, but not at the camera. It could be a trap,"" whispers Jane Birkin shyly into Agnès Varda's ear at the start of JANE B. PAR AGNES V. The director of CLEO FROM 5 TO 7 and VAGABOND once again paints a portrait of a woman, this time in a marvelously Expressionistic way. ""It's like an imaginary bio-pic,"" says Varda. Jane, of course, is the famed singer (""Je t'aime ... Moi non plus""), actress (BLOW UP), fashion icon (the Hermes Birkin bag) and longtime muse to Serge Gainsbourg. As Varda implies, JANE B. PAR AGNÈS V. abandons the traditional bio-pic format, favoring instead a freewheeling mix of gorgeous and unexpected fantasy sequences. In each, Jane inhabits a new character, playing a cat &amp; mouse game with Varda as they explore the role of the Muse and the Artist, all the while showcasing the multifaceted nature of Birkin's talent. ""I'd like to be filmed as if I were transparent, anonymous, like everyone else,"" says Birkin. But her wish to be a ""famous nobody"" is impossible to achieve; Birkin is simply too magnificent, too mesmerizing. Here, Varda's signature mix of aesthetic innovation and generosity of emotion results in a surreal and captivating essay on Art, Fame, Love, Children and Staircases. For its first-ever U.S. theatrical release the film has been newly-restored from the original 35mm camera negative, overseen by director Varda herself.","French, English, Spanish, Italian",tt0093295,movie,N/A,N/A,N/A,neutral,medium,surreal,"family, love",female,surreal,neutral,minimal,original,low,practical_effects,low,0,1,0,1,0,0,0,0,0,0,0,0,0
27,L'Age d'Or,1930,5.995,0.38,Not Rated,Not Rated,01 Nov 1979,63 min,63,"Comedy, Drama",Comedy,Drama,0,7.2,15380,0,0,N/A,"Luis Buñuel, Salvador Dalí, Marquis de Sade","Gaston Modot, Lya Lys, Caridad de Laberdesque","Bunuel's first feature has more of a plot than Un chien andalou (1929), but it's still a pure Surrealist film, so this is only a vague outline. A man and a woman are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",French,tt0021577,movie,N/A,"$32,712",N/A,"funny, emotional",fast,intimate,love,ensemble,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,1,1,0,0,0,0,0,0
28,La Jetée,1962,6.025,0.381,Not Rated,Not Rated,16 Feb 1962,28 min,28,"Short, Drama, Romance",Short,Drama,0,8.2,37834,0,1,2 wins,Chris Marker,"Étienne Becker, Jean Négroni, Hélène Chatelain","Time travel, still images, past, present and future and the aftermath of World War III. The tale of a man, a slave, sent back and forth, in and out of time, to find a solution to the world's fate, to replenish its decreasing stocks of food, medicine and energies, and in doing so, resulting in a perpetual memory of a lone female, life, death and past events that are recreated on an airport jetty.","French, German",tt0056119,movie,N/A,N/A,N/A,"dark, emotional",fast,intimate,general,unknown,non-linear,tragic,minimal,original,low,minimal,low,0,0,0,0,0,1,0,0,0,1,0,0,0
29,Lingui,2021,6.949,0.427,N/A,N/A,08 Dec 2021,87 min,87,Drama,Drama,Unknown,0,6.8,1330,83,2,3 wins & 4 nominations,Mahamat-Saleh Haroun,"Achouackh Abakar Souleymane, Rihane Khalil Alio, Youssouf Djaoro","Amina, a practicing Muslim, lives with her daughter, 15-year-old Maria. When Amina learns Maria is pregnant and wants to abort the child, they face an impossible situation in a country where abortion is legally and morally condemned.",French,tt13846546,movie,N/A,"$27,553",N/A,emotional,fast,intimate,family,female,linear,neutral,growth,original,low,minimal,high,0,0,0,0,0,1,0,0,0,0,0,0,0
30,Long-Distance Relationship,2012,6.03,0.352,N/A,N/A,08 May 2012,5 min,5,"Short, Comedy",Short,Comedy,0,0.0,0,0,0,N/A,"Jordan Passman, Ben Sheehan","Marilyn Anderson, Nick Collins, Merrick Fisher, Kyle Fitzpatrick",Long-distance relationships can be rough.,English,tt2524030,movie,N/A,N/A,N/A,funny,fast,conventional,love,unknown,linear,neutral,minimal,original,low,minimal,low,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Love & Anarchy,1973,6.11,0.385,R,R,22 Feb 1973,120 min,120,"Comedy, Drama, Romance",Comedy,Drama,0,7.7,3788,0,2,4 wins & 3 nominations total,Lina Wertmüller,"Giancarlo Giannini, Mariangela Melato, Lina Polito","Determined to continue where his friend left off, freckled peasant anarchist Tunin arrives in Rome intending to assassinate Benito Mussolini. Under those circumstances, the resolute idealist will be welcome in the town's first-rate brothel as the cousin of his contact, devoted revolutionary Salomè, who works there as a prostitute. Things soon get complicated when Tunin falls in love with one of the girls, Tripolina, and hovers on the verge of failure, torn between ideals and passion. Will the love-smitten patriot succeed in his cause?",Italian,tt0070061,movie,N/A,N/A,N/A,"funny, emotional",fast,intimate,"friendship, love",male,linear,bittersweet,minimal,original,low,minimal,medium,0,0,0,0,0,1,1,0,0,1,0,0,0
32,Magic Farm,2025,7.009,0.43,N/A,N/A,16 May 2025,93 min,93,"Comedy, Drama",Comedy,Drama,0,5.8,748,60,1,2 nominations total,Amalia Ulman,"Chloë Sevigny, Joe Apollonio, Simon Rex","A media crew mistakenly ends up in the wrong country while trying to profile a musician. As they collaborate with locals to create a viral trend, relationships form amid an unfolding health crisis.","English, Spanish, French",tt34966919,movie,N/A,"$84,752",N/A,"funny, emotional",fast,intimate,love,unknown,linear,neutral,minimal,original,low,minimal,high,0,0,0,0,0,1,1,0,0,0,0,0,0
33,Masculine Feminine,1966,5.95,0.377,Not Rated,Not Rated,22 Mar 1966,103 min,103,"Drama, Romance",Drama,Romance,0,7.4,18464,93,2,3 wins & 3 nominations total,"Jean-Luc Godard, Guy de Maupassant","Chantal Goya, Marlène Jobert, Catherine-Isabelle Duport","Paul is young, just demobbed from national service in the French Army, and disillusioned with civilian life. As his girlfriend builds herself a career as a pop singer, Paul becomes more isolated from his friends and peers ('the children of Marx and Coca Cola', as the credits announce) and their social and emotional politics.","French, Swedish, English",tt0060675,movie,N/A,"$200,380",N/A,emotional,medium,intimate,"family, friendship",male,linear,neutral,minimal,original,low,minimal,medium,0,0,0,0,0,1,0,0,0,1,0,0,0
34,Maurice's Bar,2023,6.66,0.428,N/A,N/A,16 Oct 2023,14 min,14,"Animation, Short",Animation,Short,0,7.1,409,0,2,2 wins & 5 nominations total,"Tzor Edery, Tom Prezman",Cedric Moustin,"In 1942, on a train to nowhere, a former drag queen remembers a night from her past in one of Paris' first queer bars. Remnants of customer gossip recall this mythic bar and its mysterious Jewish-Algerian owner.","French, Arabic",tt28101600,movie,N/A,N/A,N/A,neutral,fast,conventional,general,female,linear,neutral,minimal,original,low,minimal,medium,1,0,0,0,0,0,0,0,0,0,0,0,0
35,Moon,2009,6.14,0.411,R,R,10 Jul 2009,97 min,97,"Drama, Mystery, Sci-Fi",Drama,Mystery,0,7.8,389197,67,2,Won 1 BAFTA Award28 wins & 37 nominations total,"Duncan Jones, Nathan Parker","Sam Rockwell, Kevin Spacey, Dominique McElligott","Sam Bell has a three year contract to work for Lunar Industries. For the contract's entire duration, he is the sole employee based at their lunar station. His primary job responsibility is to harvest and periodically rocket back to Earth supplies of helium-3, the current clean and abundant fuel used on Earth. There is no direct communication link available between the lunar station and Earth, so his only direct real-time interaction is with GERTY, the intelligent computer whose function is to attend to his day to day needs. With such little human contact and all of it indirect, he feels that three years is far too long to be so isolated; he knows he is beginning to hallucinate as the end of his three years approaches. All he wants is to return to Earth to be with his wife Tess and their infant daughter Eve, who was born just prior to his leaving for this job. With two weeks to go, he gets into an accident at one of the mechanical harvesters and is rendered unconscious. Injured, he awakens back at the station in the infirmary, he assumes assisted by GERTY. GERTY tells him that a rescue team named Eliza will come to the station to clean up the aftermath of the accident. After his recuperation, he takes an unauthorized trip back to the broken harvester, where he makes an unexpected discovery. Because of his find, he begins to doubt his sanity, then his true identity, then the company and GERTY's willingness to do what is best for him. Because of his resulting beliefs, his sole mission becomes how to get back to Earth on his own.","English, Spanish",tt1182345,movie,N/A,"$5,010,163",N/A,"suspenseful, emotional",medium,"intimate, surreal",general,male,linear,neutral,self-discovery,original,low,CGI_heavy,medium,0,0,0,1,0,1,0,0,0,0,0,0,1
